ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6
14730,2,351.3224401455945,3.0,0.0,0.0,6.0,4.0,2.0,3.0,4.0,1.6666666666666665,1.0,4.0,1.25,3.3333333333333335,3.0,3.75,0,0,0,0
14731,2,351.3224401455945,3.4,0.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,2.75,1.25,3.0,2.6,2.75,0,0,0,0
14732,2,351.3224401455945,3.6,0.0,0.0,2.0,4.0,4.0,4.0,3.0,0.3333333333333333,1.0,2.5,1.0,3.6666666666666665,3.2,3.25,0,0,0,0
14733,2,351.3224401455945,3.8,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.25,2.25,3.0,2.8,2.75,0,0,0,0
14734,2,351.3224401455945,3.4,0.0,0.0,5.0,2.0,2.0,2.0,3.0,2.6666666666666665,1.0,4.0,1.25,3.3333333333333335,3.0,2.75,0,0,0,0
14735,2,351.3224401455945,2.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,0.0,2.75,3.0,2.6666666666666665,2.4,3.5,0,0,0,0
14736,2,351.3224401455945,3.2,0.0,0.0,4.0,4.0,2.0,3.0,4.0,2.1666666666666665,1.0,4.0,1.0,2.6666666666666665,3.0,3.0,0,0,0,0
14737,2,351.3224401455945,3.6,0.0,0.0,8.0,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,3.25,1.0,3.0,3.0,3.0,0,0,0,0
14738,2,351.3224401455945,1.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,0.0,1.0,3.75,1.25,2.6666666666666665,2.8,3.25,0,0,0,0
14801,2,625.0511510860167,3.4,0.0,1.0,3.6,2.0,2.0,3.0,3.0,2.0,1.0,2.75,1.25,2.6666666666666665,2.8,2.75,0,0,0,0
14802,2,448.23897535817247,3.8,0.0,0.0,0.4,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,3.0,1.5,3.3333333333333335,3.2,3.75,0,0,0,0
14803,2,448.23897535817247,3.6,0.0,0.0,3.0,4.0,2.0,1.0,4.0,0.0,1.0,2.75,1.25,3.0,2.6,4.0,0,0,0,0
14804,2,448.23897535817247,2.2,0.0,0.0,4.8,4.0,2.0,3.0,3.0,0.0,1.0,4.0,1.5,2.6666666666666665,3.0,2.5,0,0,0,0
14805,2,625.0511510860167,3.2,0.0,1.0,7.0,2.0,2.0,3.0,4.0,0.0,1.0,2.25,2.0,2.6666666666666665,3.4,2.5,0,0,0,0
14806,2,625.0511510860167,3.2,0.0,1.0,1.5,3.0,2.0,1.0,3.0,0.0,1.0,1.75,1.5,3.0,2.8,2.5,0,0,0,0
14807,2,625.0511510860167,2.8,0.0,1.0,6.5,3.0,2.0,3.0,4.0,0.0,1.0,3.0,1.5,3.0,3.2,3.0,0,0,0,0
14808,2,448.23897535817247,3.4,0.0,0.0,3.0,2.0,2.0,3.0,3.0,0.6666666666666666,1.0,3.0,1.0,3.3333333333333335,3.2,4.0,0,0,0,0
14812,2,625.0511510860167,4.2,0.0,1.0,3.6,2.0,2.0,3.0,4.0,2.6666666666666665,1.0,3.0,3.5,4.0,3.4,3.0,0,0,0,0
14813,2,448.23897535817247,2.0,0.0,0.0,6.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.25,2.3333333333333335,2.0,2.5,0,0,0,0
14814,2,448.23897535817247,2.4,1.0,0.0,2.4,2.0,2.0,3.0,3.0,0.0,0.0,2.75,2.0,2.3333333333333335,3.0,2.5,0,0,0,0
14815,2,448.23897535817247,2.2,0.0,0.0,3.6,2.0,2.0,3.0,4.0,0.3333333333333333,1.0,3.75,1.0,3.3333333333333335,3.2,2.0,0,0,0,0
